id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
181423;12.09;;12.088910740805456;501;01.50.00.00;logement;;annexe;2025-03-27 15:10;
758730;309.04;2.0;618.0737042014993;502;;;;;;
59700;391.18;4.0;1427.3245528935906;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
59700;391.18;4.0;1427.3245528935906;501;01.01.00.00;logement;;slrb;2025-02-04 14:08;
820695;399.32;2.0;792.5530078484478;499;11.05.00.00;équipements;;poi;2025-04-08 12:47;
561168;209.15;1.0;209.15321777964687;362;;;;;;
692845;112.02;2.0;149.3497373098003;362;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
692845;112.02;2.0;149.3497373098003;362;05.01.01.03;commerce;;hub;2024-10-17 15:01:00;
775765;129.01;2.0;218.8414298560584;362;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
754124;67.38;2.0;96.744804178254;362;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
844536;66.16;3.0;195.49099746254507;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
589830;94.93;3.0;232.9305419440321;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
212905;135.31;3.0;312.8736202600685;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
269332;73.53;3.0;198.3052992490552;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
758194;91.54;2.0;143.90910966393972;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
21639;95.15;3.0;285.43874998312697;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
81210;133.84;3.0;380.3701988103497;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
275482;120.48;2.0;151.6317820492888;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
227680;157.47;2.0;265.5263724064682;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
991889;165.36;3.0;482.838204544363;501;;;;;;
348777;112.17;3.0;325.5422848029958;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
267791;248.38;3.0;844.3424778401971;501;;;;;;
514160;70.79;3.0;196.50188213370643;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
810870;64.76;3.0;180.9258914716933;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
646090;73.98;3.0;203.96532433639345;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
129253;293.01;4.0;1060.4694993101646;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
119077;114.51;3.0;308.5434288121714;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
673813;100.18;4.0;315.2114005865381;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
621422;100.0;3.0;299.9875499822098;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
485393;96.75;3.0;248.37746322241745;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
226246;66.53;3.0;199.59471202542545;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
8421;55.52;2.0;100.10258037207598;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
652663;76.08;3.0;215.1692036084568;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
272888;75.86;3.0;212.90719454996457;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
299868;89.41;3.0;215.2170390648048;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
940204;143.96;2.0;225.99562275267093;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
940204;143.96;2.0;225.99562275267093;501;05.08.04.01;industrie;;hub;2024-10-17 15:01:00;
83926;333.29;3.0;530.4473075178174;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
